modelo,rack,numero_serie,puerto_conexion,servicio,estado,u_pos,u_size
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP+ (10GBASE-SR) / SFP-10G-SR=,,en USO,,,,,
SFP (1000BASE-T) / GLC-TE=,,en USO,,,,,
SFP (1000BASE-T) / GLC-TE=,,en USO,,,,,
SFP (1000BASE-T) / GLC-TE=,,en USO,,,,,
SFP (1000BASE-T) / GLC-TE=,,en USO,,,,,
SFP (1000BASE-T) / GLC-TE=,,en USO,,,,,
SFP (1000BASE-T) / GLC-TE=,,en USO,,,,,
SFP (1000BASE-T) / GLC-TE=,,en USO,,,,,
SFP (1000BASE-T) / GLC-TE=,,en USO,,,,,
SFP (1000BASE-T) / GLC-TE=,,en USO,,,,,
SFP (1000BASE-T) / GLC-TE=,,en USO,,,,,
SFP (1000BASE-T) / GLC-TE=,,en USO,,,,,
SFP (1000BASE-T) / GLC-TE=,,en USO,,,,,
SFP (1000BASE-SX) / GLC-SX-MMD=,,en USO,,,,,
SFP (1000BASE-SX) / GLC-SX-MMD=,,en USO,,,,,
SFP (1000BASE-SX) / GLC-SX-MMD=,,en USO,,,,,
SFP (1000BASE-SX) / GLC-SX-MMD=,,en USO,,,,,
SFP (1000BASE-SX) / GLC-SX-MMD=,,en USO,,,,,
SFP (1000BASE-SX) / GLC-SX-MMD=,,en USO,,,,,
SFP (1000BASE-SX) / GLC-SX-MMD=,,en USO,,,,,
SFP (1000BASE-SX) / GLC-SX-MMD=,,en USO,,,,,
SFP (1000BASE-SX) / GLC-SX-MMD=,,en USO,,,,,
SFP (1000BASE-SX) / GLC-SX-MMD=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
Cable 5mts 10GBASE-CU SFP+ / SFP-H10GB-CU5M=,,en USO,,,,,
